"","date","depth","mean_do"
"143",2020-01-04,7.5,9.71347135475
"144",2020-01-04,8,9.326989583
"145",2020-01-04,8.5,9.67847135475
"146",2020-01-04,9,10.0299531265
"147",2020-01-04,9.5,10.38143489825
"148",2020-01-04,10,10.73291667
"149",2020-01-04,10.5,10.38088541925
"150",2020-01-04,11,10.0288541685
"151",2020-01-04,11.5,9.67682291775
"152",2020-01-04,12,9.324791667
"153",2020-01-04,12.5,9.61416666775
"154",2020-01-04,13,9.9035416685
"155",2020-01-04,13.5,10.19291666925
"156",2020-01-04,14,10.48229167
"157",2020-01-04,14.5,10.17289323175
"158",2020-01-04,15,9.8634947935
"159",2020-01-04,15.5,9.55409635525
"160",2020-01-04,16,9.244697917
"161",2020-01-04,16.5,8.9217395835
"162",2020-01-04,17,8.59878125
"163",2020-01-04,17.5,8.2758229165
"164",2020-01-04,18,7.952864583
"165",2020-01-04,18.5,7.3294661455
"166",2020-01-04,19,6.706067708
"167",2020-01-04,19.5,6.0826692705
"168",2020-01-04,20,5.459270833
"169",2020-01-04,20.5,4.110346354
"170",2020-01-04,21,2.761421875
"171",2020-01-04,21.5,1.412497396
"172",2020-01-04,22,0.063572917
"173",2020-01-05,1,11.4740740740741
"174",2020-01-05,1.5,11.2725925925926
"175",2020-01-05,2,11.0711111111111
"176",2020-01-05,2.5,10.9851871141852
"177",2020-01-05,3,10.8992631172593
"178",2020-01-05,3.5,10.8133391203333
"179",2020-01-05,4,10.50386458
"180",2020-01-05,4.5,10.5448255175
"181",2020-01-05,5,10.585786455
"182",2020-01-05,5.5,10.6267473925
"183",2020-01-05,6,10.66770833
"184",2020-01-05,6.5,10.45573958075
"185",2020-01-05,7,10.2437708315
"186",2020-01-05,7.5,10.03180208225
"187",2020-01-05,8,9.819833333
"188",2020-01-05,8.5,10.07826041725
"189",2020-01-05,9,10.3366875015
"190",2020-01-05,9.5,10.59511458575
"191",2020-01-05,10,10.85354167
"192",2020-01-05,10.5,10.58111979425
"193",2020-01-05,11,10.3086979185
"194",2020-01-05,11.5,10.03627604275
"195",2020-01-05,12,9.763854167
"196",2020-01-05,12.5,9.94632812525
